symbol,type,entry_date,exit_date,entry_price,exit_price,shares,profit,exit_reason
BAX,long,2025-04-09,2025-05-05 00:00:00,30.75,30.43,163,-52.16,S 2 L
BAX,short,2025-05-09,2025-06-02 00:00:00,30.9,29.55,162,218.7,BE S
BBY,short,2025-06-11,2025-06-13 00:00:00,72.65,69.6,69,210.45,BE S
TECH,long,2025-04-02,2025-04-04 00:00:00,58.38,51.72,86,-572.76,Hard Stop S
TECH,long,2025-04-09,2025-04-17 00:00:00,54.07,48.1,92,-549.24,Hard Stop S
BIIB,short,2025-03-11,2025-03-31 00:00:00,143.66,136.84,35,238.7,BE S
BIIB,long,2025-04-09,2025-05-07 00:00:00,120.49,117.21,41,-134.48,S 2 L
BIIB,short,2025-06-11,2025-06-17 00:00:00,133.06,126.56,38,247.0,BE S
BX,long,2025-04-09,2025-04-21 00:00:00,137.36,120.22,36,-617.04,Hard Stop S
BX,short,2025-05-13,2025-05-21 00:00:00,148.6,137.49,34,377.74,BE S
BX,long,2025-06-18,2025-06-24 00:00:00,137.49,144.05,36,236.16,BE L
BA,long,2025-03-11,2025-03-14 00:00:00,154.06,161.81,32,248.0,BE L
BA,short,2025-06-04,2025-06-12 00:00:00,211.98,203.75,24,197.52,Gap out S
BSX,long,2025-06-13,2025-06-17 00:00:00,99.74,101.73,50,99.5,BE L
BSX,short,2025-07-01,2025-07-08 00:00:00,104.78,102.41,48,113.76,BE S
BMY,short,2025-03-04,2025-04-04 00:00:00,59.44,55.3,84,347.76,Target S
BMY,long,2025-05-12,2025-06-12 00:00:00,48.18,50.69,104,261.04,BE L
AVGO,long,2025-04-07,2025-04-09 00:00:00,154.14,185.15,32,992.32,BE L
BRO,long,2025-04-09,2025-04-29 00:00:00,116.64,107.99,43,-371.95,S 2 L
BF.B,long,2025-04-09,2025-06-02 00:00:00,34.12,33.2,147,-135.24,S 2 L
BLDR,long,2025-04-09,2025-05-01 00:00:00,124.73,111.93,40,-512.0,Hard Stop S
BLDR,short,2025-06-30,2025-07-09 00:00:00,116.69,133.0,43,-701.33,Hard Stop L
BG,long,2025-04-09,2025-04-17 00:00:00,74.29,78.96,67,312.89,BE L
BXP,long,2025-03-05,2025-04-03 00:00:00,67.68,62.6,74,-375.92,S 2 L
BXP,short,2025-05-13,2025-06-03 00:00:00,66.04,70.38,76,-329.84,L 2 S
BXP,short,2025-06-09,2025-06-25 00:00:00,72.58,66.64,69,409.86,BE S
CDNS,short,2025-03-26,2025-03-31 00:00:00,263.41,254.33,19,172.52,BE S
CZR,long,2025-04-09,2025-04-16 00:00:00,27.57,24.75,181,-510.42,Hard Stop S
CZR,short,2025-06-25,2025-07-10 00:00:00,28.6,31.51,175,-509.25,L 2 S
CPT,short,2025-03-04,2025-03-12 00:00:00,123.24,118.4,41,198.44,BE S
CPT,long,2025-04-09,2025-05-02 00:00:00,111.71,120.87,45,412.2,BE L
CPB,long,2025-05-12,2025-05-28 00:00:00,35.94,33.79,139,-298.85,S 2 L
COF,short,2025-05-14,2025-05-21 00:00:00,197.24,186.93,25,257.75,BE S
CAH,short,2025-03-25,2025-04-02 00:00:00,132.75,138.67,38,-224.96,L 2 S
CAH,long,2025-04-09,2025-04-29 00:00:00,130.45,139.84,38,356.82,BE L
CAH,short,2025-05-08,2025-06-16 00:00:00,147.27,162.41,34,-514.76,Hard Stop L
CAH,short,2025-06-20,2025-07-07 00:00:00,163.4,167.63,31,-131.13,L 2 S
CARR,short,2025-03-26,2025-03-28 00:00:00,66.97,63.33,75,273.0,BE S
CARR,long,2025-04-09,2025-05-01 00:00:00,60.77,69.8,82,740.46,Gap out L
CAT,long,2025-04-09,2025-05-12 00:00:00,301.01,342.55,17,706.18,Gap out L
CBOE,short,2025-05-08,2025-05-14 00:00:00,228.14,213.53,22,321.42,BE S
COR,short,2025-03-04,2025-03-14 00:00:00,253.28,258.07,20,-95.8,L 2 S
COR,short,2025-04-21,2025-05-07 00:00:00,281.16,304.58,18,-421.56,L 2 S
CNC,long,2025-06-03,2025-06-20 00:00:00,55.37,54.4,90,-87.3,S 2 L
CNP,short,2025-03-04,2025-03-12 00:00:00,33.69,34.55,148,-127.28,L 2 S
CNP,long,2025-05-15,2025-06-16 00:00:00,37.23,35.97,134,-168.84,S 2 L
CRL,long,2025-04-09,2025-04-10 00:00:00,139.07,99.95,36,-1408.32,Hard Stop S
CRL,short,2025-05-14,2025-06-04 00:00:00,138.95,143.22,36,-153.72,L 2 S
CHTR,long,2025-04-09,2025-04-25 00:00:00,346.98,373.65,14,373.38,Gap out L
CVX,long,2025-04-22,2025-01-23 00:00:00,76.81,156.01,65,5148.0,BE L
CVX,long,2025-04-09,2025-05-06 00:00:00,146.03,135.6,34,-354.62,S 2 L
CVX,short,2025-06-23,2025-06-25 00:00:00,146.86,143.23,34,123.42,BE S
CMG,long,2025-02-25,2025-03-10 00:00:00,52.47,49.83,95,-250.8,S 2 L
CB,short,2025-03-28,2025-04-04 00:00:00,296.44,280.68,17,267.92,BE S
CHD,short,2025-03-04,2025-03-18 00:00:00,110.71,107.38,45,149.85,BE S
CI,short,2025-03-21,2025-04-03 00:00:00,316.65,338.45,16,-348.8,L 2 S
CTAS,long,2025-03-14,2025-03-26 00:00:00,192.84,204.71,26,308.62,Gap out L
CSCO,long,2025-04-09,2025-05-12 00:00:00,58.13,61.67,86,304.44,Target L
CLX,long,2025-04-22,2025-05-09 00:00:00,142.03,134.76,35,-254.45,S 2 L
CLX,long,2025-05-29,2025-06-13 00:00:00,130.99,123.07,38,-300.96,S 2 L
