open,high,low,close,volume,symbol,prev_close,gap_pct,gap_direction,spread,body,upper_wick,lower_wick,sma_5,sma_10,sma_20,price_change,price_change_pct,volatility_5min,volume_sma_10,volume_ratio,gap_size,gap_valid,signal,stop_loss_long,stop_loss_short,target_long,target_short
174.5,174.5,174.4,174.4,79.0,GOOGL,176.62,-0.012,down,0.1,0.1,0.0,0.0,174.52,174.55,174.56,-0.1,-0.06,0.02,358.0,0.22,0.012,False,none,172.66,176.14,177.89,170.91
174.49,174.49,174.4,174.4892,14.0,GOOGL,176.62,-0.0121,down,0.09,0.0,0.0,0.09,174.5,174.54,174.55,0.09,0.05,0.04,267.0,0.05,0.0121,False,none,172.74,176.23,177.98,171.0
174.49,174.49,174.41,174.47,127.0,GOOGL,176.62,-0.0121,down,0.08,0.02,0.0,0.06,174.48,174.53,174.55,-0.02,-0.01,0.04,183.0,0.69,0.0121,False,none,172.73,176.21,177.96,170.98
174.5,174.5,174.4,174.5,122.0,GOOGL,176.62,-0.012,down,0.1,0.0,0.0,0.1,174.47,174.52,174.54,0.03,0.02,0.04,179.0,0.68,0.012,False,none,172.76,176.24,177.99,171.01
174.5,174.6,174.4,174.6,336.0,GOOGL,176.62,-0.012,down,0.2,0.1,0.0,0.1,174.49,174.53,174.55,0.1,0.06,0.05,200.0,1.68,0.012,False,none,172.85,176.35,178.09,171.11
175.3799,175.3799,175.3799,175.3799,500.0,GOOG,177.66,-0.0128,down,0.0,0.0,0.0,0.0,175.39,175.41,175.43,-0.07,-0.04,0.04,152.0,3.29,0.0128,False,none,173.63,177.13,178.89,171.87
175.3788,175.3788,175.3167,175.34,12.0,GOOG,177.66,-0.0128,down,0.06,0.04,0.0,0.02,175.38,175.4,175.43,-0.04,-0.02,0.04,146.0,0.08,0.0128,False,none,173.59,177.09,178.85,171.83
175.3488,175.3492,175.34,175.34,78.0,GOOG,177.66,-0.013,down,0.01,0.01,0.0,0.0,175.37,175.38,175.42,0.0,0.0,0.03,153.0,0.51,0.013,False,none,173.59,177.09,178.85,171.83
175.34,175.34,175.32,175.32,194.0,GOOG,177.66,-0.0131,down,0.02,0.02,0.0,0.0,175.37,175.37,175.41,-0.02,-0.01,0.03,168.0,1.15,0.0131,False,none,173.57,177.07,178.83,171.81
175.34,175.4904,175.34,175.4,596.0,GOOG,177.66,-0.0131,down,0.15,0.06,0.09,0.0,175.36,175.37,175.41,0.08,0.05,0.03,205.0,2.91,0.0131,False,none,173.65,177.15,178.91,171.89
219.605,219.69,219.6,219.6889,549.0,AMZN,222.54,-0.0132,down,0.09,0.08,0.0,0.0,219.63,219.63,219.59,0.08,0.04,0.03,745.0,0.74,0.0132,False,none,217.49,221.89,224.08,215.3
219.69,219.69,219.65,219.67,957.0,AMZN,222.54,-0.0128,down,0.04,0.02,0.0,0.02,219.65,219.64,219.6,-0.02,-0.01,0.02,574.0,1.67,0.0128,False,none,217.47,221.87,224.06,215.28
219.65,219.69,219.65,219.68,178.0,AMZN,222.54,-0.013,down,0.04,0.03,0.01,0.0,219.66,219.64,219.61,0.01,0.0,0.02,564.0,0.32,0.013,False,none,217.48,221.88,224.07,215.29
219.6,219.6796,219.6,219.615,1138.0,AMZN,222.54,-0.0132,down,0.08,0.02,0.06,0.0,219.65,219.64,219.62,-0.06,-0.03,0.03,585.0,1.95,0.0132,False,none,217.42,221.81,224.01,215.22
219.6,219.69,219.55,219.69,1408.0,AMZN,222.54,-0.0132,down,0.14,0.09,0.0,0.05,219.67,219.64,219.62,0.07,0.03,0.03,691.0,2.04,0.0132,False,none,217.49,221.89,224.08,215.3
